ano;esfera;r;N;evasao_media_pct
2020;Federal;0.04838609425738809;6078;18.42134641993649
2020;Estadual;-0.1883010236326442;3214;17.225965648789828
2020;Municipal;-0.09734073217597654;324;17.95831769879879
2021;Federal;-0.08906598143428096;6178;-8.822877013233047
2021;Estadual;0.0926858708605956;3320;11.234032046939268
2021;Municipal;-0.05967448473152868;301;16.478087185827025
2022;Federal;-0.05115769254037596;6442;13.900910721627339
2022;Estadual;-0.12122593395790215;4016;8.65620107383598
2022;Municipal;-0.10599057489753415;323;16.78064001837154
2023;Federal;-0.1749188190456404;6724;14.541676664269906
2023;Estadual;-0.20761945993889655;4608;12.456621177111973
2023;Municipal;-0.04183646364590615;232;15.954715907654816
2024;Federal;-0.14888299686566406;6749;12.751300949095967
2024;Estadual;-0.30571314214372575;4824;18.490382303472362
2024;Municipal;-0.02822591769880714;177;14.560060661908498
