ano;regiao;r;N;evasao_media_pct
2020;Centro-Oeste;-0.1285539697672676;951;18.516646316260722
2020;Nordeste;0.1865662646533582;2413;17.85879761704167
2020;Norte;0.37850598771751537;863;31.076489302981454
2020;Sudeste;-0.27089152360667296;3700;17.619777179554355
2020;Sul;-0.11885974563751248;1689;12.097629923318955
2021;Centro-Oeste;-0.018861372607003348;972;1.5496293701247186
2021;Nordeste;0.01475531273525844;2251;0.4625360941726476
2021;Norte;-0.2136576287264209;858;-90.56456450649685
2021;Sudeste;0.06076338905135038;3963;9.782513367796911
2021;Sul;-0.2365445422860217;1755;13.75387112550987
2022;Centro-Oeste;-0.13678766627055117;985;14.617342832166724
2022;Nordeste;0.1318100388693446;2669;4.6181464524668945
2022;Norte;0.16399840389538187;962;10.065384691570358
2022;Sudeste;-0.06895462026182025;4435;13.686454414475
2022;Sul;-0.06009925371838767;1730;18.859465973628286
2023;Centro-Oeste;-0.20125893759567418;1058;14.183935240222961
2023;Nordeste;-0.007692625293754407;2786;12.800480560484148
2023;Norte;-0.1369662306782789;991;10.634090332663389
2023;Sudeste;-0.14407658290167874;4934;13.447611156379761
2023;Sul;-0.2695699048123181;1795;17.449693077630574
2024;Centro-Oeste;-0.250332658377439;1117;17.39546019694548
2024;Nordeste;-0.09379446956608674;2691;8.74637858206208
2024;Norte;-0.022470251588004954;1031;11.375109978069897
2024;Sudeste;-0.3444776014049039;5034;18.80396104519429
2024;Sul;-0.18778291375190242;1877;15.172697379510867
