ano;N;corr_prouni_evasaogeral;corr_fies_evasaogeral;corr_evasaoprouni_evasaogeral;evasao_prouni_pct;corr_evasaofies_evasaogeral;evasao_fies_pct;corr_prouni_fies;corr_financtotal_evasaogeral
2010;35672;-0.043747156962419036;-0.044419724329586026;0.22338845186286807;-1.4376962091801604;0.14877360803338807;-5.9649606890262445;0.3299752585611494;-0.0347935188448737
2011;39859;-0.019667860670056856;-0.06977154931857922;0.18536403353393535;5.065639992927485;0.14624332294929981;-15.367582983138345;0.3419791152157037;-0.04427127704746886
2012;40807;0.010472105350828088;-0.04967090030705497;0.2458523998687855;4.329041271013163;0.2330255830817946;-14.840182089612869;0.3718209810237409;-0.011330859667082752
2013;45159;0.027162814437865175;-0.010850675500575994;0.3648887069151387;14.895902535862584;0.15192334388531087;-15.53952450646275;0.3686780632140805;0.0015439803498221165
2014;47050;0.054696937741164374;-0.061210795850660284;0.1586867917463894;10.74771625327871;0.25355220242972937;-7.085694208952124;0.4594496421770965;0.007870479123290924
2015;50596;-0.003977681808513184;-0.11290986519014158;0.2639441703291056;-0.2305081483256768;0.4522584288398143;6.088562097252929;0.3496546386329813;-0.02331044404932548
2016;54464;0.04105141898110242;-0.1318414655556978;0.2891617297691702;4.35027531887448;0.2797835926053226;3.279928957267901;0.36329162315474195;-0.0034942219434515188
2017;59182;0.02464404765138032;-0.16039665593092847;0.284624893271595;9.452462136452912;0.1593932511753286;7.023840669529427;0.29329862520953437;-0.03307378619982391
2018;68341;-0.022617879388445915;-0.18436362049215696;0.35124911178685136;20.939555375945307;0.235675527504527;13.967815573021142;0.28590217479986324;-0.05565318342124983
2019;82161;0.0066583651601066565;-0.1322647462815309;0.13216969611642676;8.474841702117727;0.2698118097256915;21.61480400984042;0.26867247553338786;-0.02110046163294552
2020;96790;-0.03075603867093226;-0.07686995474779736;0.2629489209115537;10.112803378925381;0.2603798341022181;25.17139648822877;0.27453201980191333;-0.03805066521179084
2021;116648;-0.0723466072284343;-0.10176270109301921;0.41055287657760736;11.70430614287563;0.30567639144122377;30.001827608130398;0.27263124203794525;-0.07964991440262391
2022;132464;-0.06348574469320972;-0.13641027608293774;0.2650685411368344;8.822912901804646;0.20630266703608796;21.95272313821886;0.26354601665917493;-0.09117453352797873
2023;147891;-0.08160373014422743;-0.14445238211197367;0.40541089959061977;18.23307763774473;0.0832069298950272;-1.9639888245680748;0.2645367182383179;-0.09521059929845854
2024;157732;-0.08908093924529172;-0.14305283337253638;0.20027272255809767;7.519407772986321;0.3059484128302635;9.613146119101158;0.26170575823067727;-0.10117502854575881
