ano;N;presencial;ead;bacharelado;licenciatura;tecnologico;pub_federal;pub_estadual;pub_municipal;priv_lucrativa;priv_nao_lucrativa
2010;35672;7.000657521664142;6.853698367504755;6.653350848998504;7.631321340887787;6.6138300447605545;9.747165724679137;-9.695636413130186;4.685874600874163;7.590738982043199;9.29241610479583
2011;39859;9.916645974877968;15.025800465657174;9.682146334184795;10.971753730050333;15.90215951331425;8.255949278556546;-2.586775873594595;12.353176547363127;12.632389743598772;15.164834209576567
2012;40807;15.463994496746409;19.002740641681353;14.292625583574955;15.874728722450202;22.72076804005331;14.678273722310895;6.983027952965363;10.572446632607999;17.66233273944317;19.04224597049104
2013;45159;14.832059153340632;19.773811086694685;16.100560956864555;14.37078597699627;19.9954797151921;11.924485815902338;9.161902767002257;9.913518668414849;17.518668484000973;20.118295350991538
2014;47050;14.126252204539494;19.799084146732017;15.204144318975942;12.57384443165128;21.67810321416339;12.341853290076422;-3.3668282851537423;12.39060870131583;18.742071262045133;20.20289999820899
2015;50596;14.054022765229371;21.914001017637517;15.29095350621407;16.021951902549894;21.95279154284045;12.261339553333778;8.69476840972161;12.532883475893753;19.315940626127794;19.39544800721859
2016;54464;15.189650560627808;25.7037752027781;17.214692085503312;17.55296207375868;26.7822362108576;10.133218238577577;6.212496560866727;8.210788682006056;24.897652075710262;20.295529771408862
2017;59182;15.509151742200752;26.43094803883147;17.858274105914703;20.160855285181096;26.266578172210263;11.295344503113999;8.704447581390209;14.921980787508767;24.36691744460883;21.69505583871016
2018;68323;15.749511226693546;28.18456255181735;19.695861565546398;22.236895671970053;26.900072204822717;11.389982984331567;12.055256259245832;12.780592584618027;27.18271519010102;18.00958145995789
2019;82114;17.062679355882324;27.30632154177335;21.621374855820232;22.138627537463844;26.695930370215837;13.797571017277374;10.482054624227398;17.9288633335939;26.945389099504734;19.650758243827195
2020;96669;20.08781718976461;22.281375163112624;21.42898246535341;20.080763087563554;22.670099489316183;16.362395998703523;15.591974918946283;19.22985350843864;23.05569371841877;19.669675265206024
2021;116481;13.323862539156107;25.551866257370325;20.777206810060463;17.091053123914957;27.606054548046053;-7.202634314151545;7.405199345400408;17.520925553892187;26.114081799567714;20.466412345004308
2022;132464;17.419516938900138;31.080493286779532;25.759733632799815;24.672302624383406;32.37275078776955;15.62395043039492;9.934465937919052;17.4509079519302;30.927502865956253;21.136165563540224
2023;147891;16.871331326648516;29.456360982301753;24.956416987693782;25.280116348607333;29.966207127701743;14.51343306185021;12.704716942567105;16.210853869372407;29.315751709835087;20.630478694406555
2024;157531;17.613823658022966;31.600688711526903;26.565063682707862;26.64755052970757;33.119991871595005;12.96997924636328;17.29429380612674;16.778783435132798;31.531402639443044;21.457852393451468
